1,92.199997
2,92.199997
3,92.050003
4,91.900002
5,93.599998
6,91.900002
7,92.449997
8,92
9,92.300003
10,91.5
11,89.400002
12,91
13,89.650002
14,87.849998
15,89.400002
16,91.800003
17,89.699997
18,90.25
19,91.75
20,87.849998
21,85.900002
22,85.150002
23,85.900002
24,87.400002
25,85.599998
26,84.75
27,83.650002
28,84.199997
29,85.900002
30,84.150002
31,84.800003
32,84.849998
33,84.949997
34,85.099998
35,85.849998
36,84.900002
37,86.599998
38,87.050003
39,86.150002
40,83.900002
41,84.449997
42,85
43,87.900002
44,87.650002
45,86.599998
46,89.300003
47,89.75
48,90.150002
49,90.050003
50,89.25